,Sex,Length (mm),Diameter (mm),Height (mm,Whole weight (g),Shucked weight (g),Viscera weight (g),Shell weight (g),Rings
851,F,0.65,0.505,0.165,1.16,0.4785,0.27399999999999997,0.349,11
852,M,0.545,0.45,0.15,0.8795,0.387,0.15,0.2625,11
853,F,0.58,0.46,0.185,1.0170000000000001,0.3515,0.2,0.32,10
854,F,0.46,0.425,0.155,0.746,0.3005,0.152,0.24,8
855,I,0.39,0.29,0.09,0.2745,0.135,0.0455,0.078,8
856,I,0.465,0.355,0.11,0.474,0.23,0.1005,0.12,7
857,M,0.55,0.425,0.16,0.97,0.2885,0.139,0.48,20
858,I,0.285,0.21,0.07,0.109,0.044000000000000004,0.0265,0.033,5
859,M,0.36,0.295,0.1,0.2105,0.066,0.0525,0.075,9
860,M,0.725,0.57,0.19,2.3305,1.253,0.541,0.52,9
861,I,0.24,0.17,0.05,0.0545,0.0205,0.016,0.0155,5
862,M,0.495,0.395,0.12,0.5529999999999999,0.22399999999999998,0.1375,0.16699999999999998,8
863,M,0.545,0.39,0.135,0.7835,0.4225,0.1815,0.156,7
864,M,0.69,0.55,0.18,1.6915,0.6655,0.402,0.5,11
865,I,0.335,0.245,0.09,0.1665,0.0595,0.04,0.06,6
866,I,0.435,0.335,0.1,0.3245,0.135,0.0785,0.098,7
867,F,0.575,0.48,0.15,0.897,0.4235,0.1905,0.248,8
868,I,0.465,0.37,0.115,0.4075,0.1515,0.0935,0.1455,9
869,I,0.625,0.485,0.15,1.044,0.43799999999999994,0.2865,0.278,9
870,F,0.54,0.42,0.13,0.7505,0.368,0.1675,0.1845,9
871,F,0.68,0.57,0.205,1.8419999999999999,0.625,0.408,0.65,20
872,I,0.305,0.23,0.075,0.1455,0.0595,0.0305,0.05,6
873,I,0.54,0.42,0.14,0.6665,0.3125,0.138,0.1895,10
874,M,0.58,0.46,0.18,1.145,0.48,0.27699999999999997,0.325,11
875,M,0.775,0.63,0.25,2.7795,1.3485,0.76,0.578,12
876,F,0.61,0.485,0.165,1.087,0.4255,0.23199999999999998,0.38,11
877,F,0.64,0.525,0.215,1.7790000000000001,0.4535,0.2855,0.55,22
878,I,0.35,0.25,0.07,0.1605,0.0715,0.0335,0.046,6
879,F,0.56,0.435,0.125,0.8775,0.3345,0.2145,0.29,13
880,F,0.6,0.47,0.2,1.031,0.392,0.2035,0.29,15
881,I,0.365,0.255,0.08,0.1985,0.0785,0.0345,0.053,5
882,I,0.495,0.37,0.125,0.4715,0.2075,0.091,0.15,8
883,I,0.25,0.19,0.06,0.0765,0.036000000000000004,0.0115,0.0245,6
884,F,0.525,0.415,0.15,0.7155,0.2355,0.171,0.27,13
885,F,0.58,0.465,0.165,1.1015,0.40399999999999997,0.2095,0.35,11
886,F,0.53,0.41,0.165,0.8115,0.24,0.16899999999999998,0.24,19
887,M,0.625,0.505,0.185,1.1565,0.52,0.2405,0.3535,10
888,I,0.395,0.31,0.085,0.317,0.153,0.0505,0.0935,7
889,M,0.57,0.42,0.14,0.8745,0.41600000000000004,0.165,0.25,8
890,I,0.57,0.435,0.17,0.848,0.4,0.166,0.25,9
891,M,0.385,0.3,0.115,0.3435,0.1645,0.085,0.1025,6
892,F,0.6,0.45,0.14,0.8370000000000001,0.37,0.177,0.2425,10
893,F,0.5,0.4,0.165,0.7105,0.27,0.1455,0.225,20
894,F,0.66,0.525,0.18,1.5965,0.7765,0.397,0.3605,10
895,I,0.25,0.175,0.06,0.0635,0.0275,0.008,0.02,4
896,I,0.38,0.29,0.085,0.2285,0.08800000000000001,0.0465,0.075,7
897,M,0.655,0.52,0.165,1.4095,0.586,0.29100000000000004,0.405,9
898,F,0.62,0.465,0.14,1.1605,0.6005,0.2195,0.307,9
899,M,0.65,0.495,0.16,1.2075,0.55,0.2695,0.32,10
900,I,0.57,0.45,0.135,0.794,0.3815,0.1415,0.245,8
901,M,0.605,0.475,0.18,0.9365,0.39399999999999996,0.21899999999999997,0.295,15
902,M,0.74,0.595,0.19,2.3235,1.1495,0.5115,0.505,11
903,F,0.68,0.52,0.185,1.494,0.615,0.3935,0.406,11
904,M,0.515,0.4,0.14,0.6335,0.28800000000000003,0.145,0.168,9
905,I,0.39,0.295,0.095,0.203,0.0875,0.045,0.075,7
906,M,0.695,0.54,0.195,1.6909999999999998,0.768,0.363,0.4755,11
907,M,0.66,0.545,0.185,1.32,0.5305,0.2635,0.455,16
908,F,0.625,0.485,0.165,1.2255,0.5075,0.29600000000000004,0.36,10
909,I,0.35,0.26,0.085,0.174,0.0705,0.0345,0.06,10
910,F,0.655,0.515,0.18,1.412,0.6195,0.2485,0.49700000000000005,11
911,F,0.67,0.53,0.225,1.5615,0.63,0.48700000000000004,0.3725,11
912,I,0.63,0.475,0.145,1.0605,0.5165,0.2195,0.28,10
913,F,0.415,0.325,0.105,0.38,0.1595,0.0785,0.12,12
914,M,0.555,0.46,0.16,0.86,0.3345,0.1935,0.275,10
915,F,0.625,0.485,0.2,1.38,0.5845,0.302,0.401,9
916,I,0.26,0.2,0.07,0.092,0.037000000000000005,0.02,0.03,6
917,F,0.46,0.355,0.13,0.45799999999999996,0.192,0.1055,0.13,13
918,F,0.54,0.44,0.135,0.9590000000000001,0.2385,0.221,0.3,17
919,I,0.56,0.42,0.14,0.8370000000000001,0.414,0.214,0.2,8
920,I,0.445,0.32,0.12,0.37799999999999995,0.152,0.0825,0.12,8
921,M,0.65,0.51,0.175,1.155,0.4955,0.2025,0.385,12
922,M,0.375,0.28,0.095,0.2225,0.0875,0.043,0.08,10
923,I,0.39,0.285,0.1,0.281,0.1275,0.062,0.077,7
924,F,0.595,0.48,0.16,1.2095,0.5225,0.29600000000000004,0.32,8
925,I,0.545,0.42,0.125,0.7170000000000001,0.358,0.11199999999999999,0.22,8
926,I,0.3,0.23,0.085,0.11699999999999999,0.05,0.0175,0.0415,6
927,I,0.395,0.29,0.095,0.319,0.138,0.08,0.08199999999999999,7
928,I,0.35,0.27,0.075,0.215,0.1,0.036000000000000004,0.065,6
929,M,0.515,0.39,0.12,0.6125,0.302,0.1365,0.1415,8
930,I,0.53,0.4,0.125,0.617,0.27899999999999997,0.127,0.19,8
931,I,0.44,0.305,0.115,0.379,0.162,0.091,0.11,9
932,I,0.245,0.18,0.065,0.071,0.03,0.013000000000000001,0.0215,4
933,M,0.585,0.47,0.145,0.9565,0.4025,0.2365,0.265,9
934,M,0.295,0.225,0.09,0.1385,0.048,0.046,0.05,9
935,M,0.625,0.505,0.215,1.4455,0.496,0.287,0.435,22
936,F,0.425,0.33,0.115,0.406,0.1635,0.081,0.1355,8
937,M,0.62,0.475,0.185,1.325,0.6045,0.325,0.33,13
938,F,0.555,0.445,0.175,1.1465,0.551,0.244,0.2785,8
939,F,0.58,0.45,0.155,0.93,0.385,0.24600000000000002,0.265,9
940,M,0.525,0.41,0.13,0.6875,0.3435,0.1495,0.1765,9
941,M,0.335,0.235,0.085,0.1545,0.066,0.0345,0.045,6
942,M,0.5,0.37,0.15,1.0615,0.494,0.223,0.29600000000000004,9
943,F,0.675,0.51,0.15,1.1965,0.475,0.304,0.386,11
944,M,0.5,0.38,0.12,0.5765,0.273,0.135,0.145,9
945,M,0.165,0.125,0.04,0.0245,0.0095,0.0045,0.008,4
946,M,0.39,0.3,0.09,0.3055,0.14300000000000002,0.0645,0.085,9
947,M,0.56,0.45,0.16,0.922,0.43200000000000005,0.17800000000000002,0.26,15
948,I,0.45,0.36,0.125,0.45,0.191,0.0865,0.145,12
949,I,0.205,0.15,0.065,0.04,0.02,0.011000000000000001,0.013000000000000001,4
950,M,0.2,0.14,0.055,0.035,0.0145,0.008,0.01,5
951,F,0.65,0.565,0.2,1.6645,0.753,0.36700000000000005,0.43,12
952,F,0.55,0.44,0.125,0.765,0.33,0.2125,0.245,9
953,I,0.48,0.355,0.115,0.4725,0.2065,0.11199999999999999,0.132,8
954,I,0.43,0.33,0.095,0.32,0.11800000000000001,0.065,0.12300000000000001,7
955,F,0.525,0.4,0.13,0.6995,0.3115,0.131,0.223,9
956,M,0.635,0.49,0.175,1.375,0.623,0.2705,0.395,11
957,I,0.36,0.27,0.085,0.196,0.0875,0.035,0.064,4
958,F,0.635,0.495,0.175,1.2109999999999999,0.7070000000000001,0.2725,0.32299999999999995,9
959,I,0.64,0.49,0.135,1.1,0.488,0.2505,0.2925,10
960,F,0.65,0.545,0.23,1.7519999999999998,0.5605,0.2895,0.815,16
961,F,0.565,0.49,0.155,0.9245,0.405,0.2195,0.255,11
962,M,0.59,0.49,0.135,1.008,0.42200000000000004,0.2245,0.285,11
963,M,0.585,0.49,0.185,1.171,0.522,0.2535,0.335,10
964,M,0.62,0.495,0.18,1.2555,0.5765,0.254,0.355,12
965,I,0.53,0.405,0.12,0.632,0.2715,0.14800000000000002,0.1875,9
966,M,0.475,0.355,0.125,0.4625,0.18600000000000003,0.107,0.145,9
967,F,0.44,0.34,0.14,0.48200000000000004,0.18600000000000003,0.1085,0.16,9
968,M,0.68,0.53,0.18,1.5290000000000001,0.7635,0.3115,0.4025,11
969,M,0.53,0.41,0.14,0.7545,0.3495,0.1715,0.2105,8
970,I,0.495,0.38,0.12,0.512,0.233,0.1205,0.136,7
971,M,0.605,0.475,0.15,1.15,0.575,0.23199999999999998,0.297,10
972,I,0.41,0.3,0.09,0.28,0.141,0.0575,0.075,8
973,I,0.445,0.325,0.1,0.37799999999999995,0.1795,0.1,0.08900000000000001,7
974,I,0.515,0.4,0.14,0.7165,0.3495,0.1595,0.1785,8
975,M,0.615,0.475,0.175,1.224,0.6035,0.261,0.311,9
976,F,0.4,0.3,0.115,0.3025,0.1335,0.0465,0.0935,8
977,M,0.665,0.535,0.155,1.383,0.596,0.2565,0.485,14
978,M,0.57,0.455,0.15,0.96,0.387,0.2385,0.275,11
979,I,0.55,0.415,0.15,0.7915,0.3535,0.17600000000000002,0.23600000000000002,10
980,F,0.72,0.55,0.2,1.9965,0.9035,0.469,0.5215,10
981,F,0.49,0.39,0.135,0.5785,0.2465,0.12300000000000001,0.2,13
982,M,0.52,0.39,0.12,0.6435,0.2885,0.157,0.161,7
983,I,0.525,0.4,0.125,0.6965,0.369,0.1385,0.16399999999999998,9
984,M,0.65,0.51,0.16,1.3835,0.6385,0.2905,0.3665,9
985,I,0.505,0.4,0.125,0.5605,0.2255,0.1435,0.17,8
986,M,0.44,0.35,0.11,0.4585,0.2,0.0885,0.13,9
987,F,0.575,0.46,0.19,0.9940000000000001,0.392,0.2425,0.34,13
988,M,0.545,0.42,0.125,0.9745,0.353,0.174,0.305,13
989,M,0.565,0.455,0.17,0.9065,0.342,0.156,0.32,18
990,F,0.465,0.35,0.115,0.42100000000000004,0.1565,0.091,0.1345,9
991,F,0.555,0.44,0.14,0.846,0.34600000000000003,0.1715,0.2735,10
992,F,0.56,0.44,0.135,0.8025,0.35,0.1615,0.259,9
993,M,0.615,0.495,0.2,1.304,0.5795,0.3115,0.371,14
994,I,0.46,0.365,0.115,0.511,0.2365,0.11800000000000001,0.12300000000000001,7
995,M,0.645,0.485,0.155,1.489,0.5915,0.312,0.38,18
996,M,0.45,0.345,0.105,0.4115,0.18,0.1125,0.135,7
997,F,0.625,0.47,0.145,0.9840000000000001,0.475,0.2,0.265,11
998,I,0.62,0.475,0.16,0.907,0.371,0.16699999999999998,0.3075,11
999,M,0.645,0.51,0.16,1.33,0.6665,0.309,0.317,9
1000,F,0.5,0.395,0.15,0.7145,0.3235,0.17300000000000001,0.195,9
1001,I,0.635,0.5,0.165,1.489,0.715,0.3445,0.3615,13
1002,F,0.635,0.5,0.15,1.376,0.6495,0.361,0.31,10
1003,F,0.535,0.445,0.125,0.8725,0.41700000000000004,0.19899999999999998,0.24,8
1004,F,0.535,0.425,0.155,0.7765,0.302,0.1565,0.25,16
1005,F,0.72,0.525,0.18,1.445,0.631,0.3215,0.435,7
1006,I,0.44,0.34,0.1,0.379,0.1725,0.0815,0.10099999999999999,7
1007,I,0.355,0.28,0.11,0.2235,0.0815,0.0525,0.08,7
1008,I,0.275,0.195,0.065,0.106,0.054000000000000006,0.02,0.027999999999999997,6
1009,M,0.655,0.535,0.205,1.6445,0.7305,0.3595,0.46,13
1010,M,0.64,0.495,0.165,1.307,0.6779999999999999,0.292,0.266,11
1011,I,0.58,0.46,0.14,0.9265,0.4135,0.1845,0.27,10
1012,M,0.465,0.36,0.105,0.431,0.172,0.107,0.175,9
1013,M,0.4,0.32,0.095,0.303,0.1335,0.06,0.1,7
1014,M,0.685,0.545,0.205,1.7925,0.8145,0.41600000000000004,0.461,9
1015,M,0.655,0.525,0.185,1.2590000000000001,0.48700000000000004,0.2215,0.445,20
1016,M,0.61,0.475,0.155,0.983,0.4565,0.228,0.266,10
1017,I,0.34,0.255,0.075,0.18,0.0745,0.04,0.0525,6
1018,F,0.595,0.48,0.15,1.11,0.498,0.228,0.33,10
1019,I,0.565,0.43,0.125,0.6545,0.2815,0.139,0.21,9
1020,F,0.505,0.385,0.115,0.616,0.243,0.1075,0.21,11
1021,M,0.37,0.28,0.095,0.2225,0.0805,0.051,0.075,7
1022,F,0.585,0.45,0.145,0.9835,0.4845,0.242,0.22,9
1023,M,0.625,0.455,0.17,1.082,0.4955,0.2345,0.315,9
1024,M,0.455,0.365,0.095,0.514,0.2245,0.10099999999999999,0.15,15
1025,M,0.59,0.47,0.145,0.9235,0.4545,0.17300000000000001,0.254,9
1026,I,0.435,0.355,0.125,0.4075,0.1535,0.07400000000000001,0.165,9
1027,M,0.505,0.4,0.125,0.77,0.2735,0.159,0.255,13
1028,M,0.57,0.46,0.15,1.0375,0.5415,0.2035,0.25,9
1029,M,0.63,0.515,0.175,1.1955,0.49200000000000005,0.247,0.37,11
1030,F,0.65,0.59,0.22,1.662,0.77,0.37799999999999995,0.435,11
1031,F,0.685,0.525,0.175,1.71,0.5415,0.309,0.58,16
1032,M,0.265,0.2,0.065,0.084,0.034,0.0105,0.03,7
1033,F,0.525,0.41,0.135,0.7085,0.293,0.1525,0.235,11
1034,I,0.545,0.43,0.14,0.687,0.2615,0.1405,0.25,9
1035,I,0.46,0.36,0.105,0.466,0.2225,0.099,0.11,7
1036,F,0.615,0.5,0.205,1.1055,0.4445,0.22699999999999998,0.39,16
1037,M,0.645,0.49,0.16,1.251,0.5355,0.3345,0.3165,9
1038,M,0.445,0.37,0.125,0.515,0.2495,0.087,0.159,9
1039,F,0.56,0.43,0.125,0.8025,0.313,0.1715,0.263,13
1040,F,0.55,0.415,0.135,0.8145,0.42700000000000005,0.1855,0.175,8
1041,M,0.535,0.435,0.155,0.8915,0.3415,0.177,0.25,13
1042,M,0.61,0.47,0.165,1.052,0.498,0.242,0.267,9
1043,F,0.565,0.45,0.145,0.8495,0.4215,0.1685,0.225,8
1044,I,0.455,0.35,0.13,0.4725,0.215,0.0745,0.15,9
1045,M,0.58,0.465,0.175,1.035,0.401,0.1865,0.385,17
1046,I,0.405,0.3,0.12,0.324,0.1265,0.07,0.11,7
1047,F,0.43,0.335,0.12,0.444,0.155,0.1145,0.14,13
1048,M,0.555,0.44,0.15,0.755,0.307,0.1525,0.26,12
1049,I,0.37,0.275,0.14,0.2215,0.09699999999999999,0.0455,0.0615,6
1050,F,0.445,0.335,0.14,0.4565,0.1785,0.114,0.14,11
1051,F,0.565,0.45,0.175,1.0095,0.447,0.2375,0.2645,9
1052,F,0.665,0.53,0.185,1.3955,0.456,0.3205,0.49,15
1053,M,0.555,0.455,0.135,0.8370000000000001,0.382,0.171,0.235,9
1054,F,0.61,0.495,0.175,1.2635,0.53,0.315,0.3455,10
1055,I,0.45,0.355,0.12,0.41200000000000003,0.1145,0.0665,0.16,19
1056,F,0.635,0.485,0.165,1.2695,0.5635,0.3065,0.3395,11
1057,M,0.49,0.385,0.125,0.609,0.3065,0.096,0.1775,8
1058,F,0.38,0.305,0.095,0.2815,0.1255,0.0525,0.09,8
1059,F,0.7,0.55,0.17,1.6840000000000002,0.7535,0.3265,0.32,11
1060,F,0.545,0.445,0.175,0.8525,0.3465,0.18899999999999997,0.295,13
1061,I,0.5,0.375,0.125,0.5695,0.259,0.124,0.157,7
1062,M,0.605,0.49,0.18,1.167,0.457,0.29,0.3745,9
1063,F,0.34,0.255,0.085,0.204,0.09699999999999999,0.021,0.05,6
1064,I,0.62,0.485,0.17,1.208,0.4805,0.3045,0.33,15
1065,M,0.415,0.325,0.14,0.41700000000000004,0.1535,0.1015,0.14400000000000002,10
1066,M,0.555,0.44,0.135,0.9025,0.3805,0.2105,0.28,13
1067,M,0.62,0.47,0.135,1.0195,0.5315,0.2005,0.2475,8
1068,M,0.61,0.46,0.16,1.0,0.494,0.19699999999999998,0.275,10
1069,M,0.565,0.465,0.175,0.995,0.3895,0.183,0.37,15
1070,F,0.63,0.495,0.165,1.3075,0.599,0.284,0.315,11
1071,I,0.435,0.345,0.12,0.4475,0.221,0.11199999999999999,0.125,7
1072,F,0.62,0.48,0.165,1.0125,0.5325,0.4365,0.324,10
1073,I,0.5,0.38,0.135,0.5285,0.226,0.12300000000000001,0.209,8
1074,I,0.48,0.355,0.11,0.4495,0.201,0.08900000000000001,0.14,8
1075,M,0.505,0.365,0.115,0.521,0.25,0.096,0.15,8
1076,F,0.495,0.37,0.12,0.594,0.28,0.11,0.1375,7
1077,F,0.605,0.465,0.155,1.1,0.547,0.2665,0.2585,10
1078,I,0.42,0.32,0.1,0.34,0.1745,0.05,0.0945,8
1079,F,0.475,0.38,0.135,0.486,0.1735,0.07,0.185,7
1080,M,0.675,0.515,0.145,1.265,0.6025,0.299,0.325,10
1081,M,0.465,0.36,0.105,0.488,0.188,0.0845,0.19,10
1082,M,0.505,0.385,0.11,0.655,0.3185,0.15,0.185,9
1083,F,0.47,0.365,0.105,0.4205,0.163,0.1035,0.14,9
1084,F,0.585,0.45,0.125,0.8740000000000001,0.3545,0.2075,0.225,6
1085,M,0.61,0.475,0.165,1.1159999999999999,0.428,0.2205,0.315,15
1086,M,0.425,0.325,0.095,0.3785,0.1705,0.08,0.1,7
1087,M,0.59,0.5,0.15,1.1420000000000001,0.485,0.265,0.345,9
1088,I,0.535,0.42,0.145,0.6885,0.273,0.1515,0.237,9
1089,M,0.595,0.48,0.165,1.262,0.4835,0.28300000000000003,0.41,17
1090,F,0.505,0.38,0.13,0.693,0.391,0.1195,0.1515,8
1091,F,0.505,0.41,0.135,0.657,0.29100000000000004,0.133,0.195,15
1092,M,0.5,0.4,0.125,0.6725,0.336,0.12,0.1825,7
1093,F,0.755,0.575,0.2,2.073,1.0135,0.4655,0.48,11
1094,M,0.27,0.2,0.08,0.1205,0.0465,0.027999999999999997,0.04,6
1095,I,0.365,0.295,0.095,0.25,0.1075,0.0545,0.08,9
1096,I,0.6,0.445,0.175,1.057,0.38299999999999995,0.21600000000000003,0.355,16
1097,M,0.5,0.38,0.125,0.5770000000000001,0.26899999999999996,0.1265,0.1535,9
1098,I,0.11,0.09,0.03,0.008,0.0025,0.002,0.003,3
1099,I,0.525,0.395,0.12,0.608,0.297,0.1395,0.1405,8
1100,M,0.605,0.49,0.145,1.3,0.517,0.3285,0.31,14
1101,M,0.56,0.44,0.14,0.971,0.44299999999999995,0.2045,0.265,14
1102,F,0.49,0.365,0.13,0.6835,0.165,0.1315,0.205,21
1103,I,0.415,0.32,0.11,0.3735,0.175,0.0755,0.109,7
1104,M,0.6,0.475,0.175,1.11,0.5105,0.256,0.285,9
1105,I,0.41,0.305,0.095,0.2625,0.1,0.0515,0.09,6
1106,F,0.605,0.485,0.165,0.9515,0.4535,0.193,0.2765,11
1107,M,0.475,0.36,0.1,0.4285,0.1965,0.099,0.11199999999999999,7
1108,F,0.53,0.435,0.17,0.8155,0.2985,0.155,0.275,13
1109,I,0.355,0.26,0.09,0.1925,0.077,0.038,0.065,8
1110,F,0.585,0.435,0.14,0.6955,0.3085,0.129,0.2245,8
1111,I,0.365,0.265,0.135,0.2215,0.105,0.047,0.0605,7
1112,M,0.425,0.315,0.125,0.3525,0.1135,0.0565,0.13,18
1113,F,0.515,0.39,0.13,0.5755,0.1975,0.13,0.1845,9
1114,F,0.735,0.6,0.22,2.555,1.1335,0.44,0.6,11
1115,M,0.67,0.5,0.19,1.5190000000000001,0.616,0.38799999999999996,0.415,10
1116,I,0.38,0.28,0.085,0.2735,0.115,0.061,0.085,6
1117,F,0.56,0.44,0.155,0.9705,0.4315,0.263,0.255,9
1118,I,0.39,0.29,0.09,0.2625,0.11699999999999999,0.054000000000000006,0.077,7
1119,I,0.53,0.42,0.13,0.6579999999999999,0.29600000000000004,0.1245,0.198,8
1120,F,0.485,0.395,0.16,0.66,0.2475,0.128,0.235,14
1121,F,0.62,0.475,0.16,1.3245,0.6865,0.233,0.3275,9
1122,I,0.52,0.41,0.14,0.6625,0.2775,0.1555,0.196,11
1123,F,0.67,0.51,0.155,1.278,0.5605,0.3045,0.358,11
1124,F,0.69,0.535,0.185,1.8259999999999998,0.797,0.409,0.499,11
1125,I,0.495,0.385,0.125,0.585,0.2755,0.1235,0.165,8
1126,F,0.57,0.45,0.18,0.9079999999999999,0.4015,0.217,0.255,9
1127,I,0.515,0.39,0.12,0.565,0.235,0.135,0.179,9
1128,M,0.6,0.475,0.17,1.1315,0.508,0.272,0.309,10
1129,I,0.425,0.38,0.105,0.3265,0.1285,0.0785,0.1,10
1130,I,0.375,0.28,0.08,0.2025,0.0825,0.048,0.065,8
1131,M,0.545,0.435,0.145,0.9385,0.3685,0.1245,0.345,11
1132,M,0.52,0.415,0.175,0.753,0.258,0.171,0.255,8
1133,M,0.645,0.505,0.15,1.1605,0.519,0.2615,0.335,10
1134,F,0.61,0.47,0.165,1.1785,0.5660000000000001,0.2785,0.294,11
1135,I,0.415,0.325,0.115,0.3285,0.1405,0.051,0.106,12
1136,F,0.565,0.455,0.13,1.058,0.439,0.2645,0.3,10
1137,I,0.35,0.235,0.08,0.17,0.0725,0.0465,0.0495,7
1138,M,0.59,0.455,0.155,0.8855,0.38799999999999996,0.188,0.275,10
1139,F,0.68,0.58,0.2,1.787,0.585,0.45299999999999996,0.6,19
1140,F,0.78,0.63,0.215,2.657,1.4880000000000002,0.4985,0.586,11
1141,M,0.62,0.485,0.145,1.003,0.4655,0.2195,0.28,11
1142,F,0.685,0.53,0.17,1.5105,0.7385,0.3525,0.3725,10
1143,M,0.595,0.465,0.175,1.115,0.4015,0.254,0.39,13
1144,F,0.655,0.525,0.19,1.3595,0.564,0.3215,0.3985,10
1145,M,0.49,0.38,0.14,0.6385,0.2305,0.142,0.195,13
1146,M,0.495,0.415,0.165,0.7485,0.264,0.134,0.285,13
1147,M,0.77,0.605,0.175,2.0505,0.8005,0.526,0.355,11
1148,M,0.45,0.335,0.125,0.349,0.11900000000000001,0.1055,0.115,10
1149,I,0.415,0.335,0.1,0.358,0.16899999999999998,0.067,0.105,7
1150,M,0.645,0.5,0.175,1.286,0.5645,0.28800000000000003,0.386,12
1151,M,0.475,0.375,0.125,0.593,0.27699999999999997,0.115,0.18,10
1152,I,0.41,0.31,0.11,0.315,0.124,0.08199999999999999,0.095,9
1153,I,0.28,0.21,0.055,0.106,0.0415,0.0265,0.031,5
1154,F,0.57,0.445,0.155,1.0170000000000001,0.5265,0.2025,0.265,10
1155,I,0.31,0.225,0.075,0.155,0.065,0.037000000000000005,0.0365,6
1156,M,0.495,0.4,0.12,0.6605,0.2605,0.161,0.19,15
1157,M,0.575,0.455,0.145,1.165,0.581,0.2275,0.3,14
1158,F,0.58,0.455,0.16,0.9215,0.312,0.196,0.3,17
1159,M,0.535,0.415,0.135,0.78,0.3165,0.16899999999999998,0.2365,8
1160,F,0.595,0.495,0.235,1.3659999999999999,0.5065,0.21899999999999997,0.52,13
1161,F,0.465,0.35,0.125,0.48200000000000004,0.23,0.106,0.1095,6
1162,F,0.58,0.445,0.145,0.888,0.41,0.1815,0.2425,8
1163,M,0.495,0.395,0.135,0.6335,0.3035,0.1295,0.1495,8
1164,I,0.45,0.33,0.115,0.365,0.14,0.0825,0.1245,8
1165,M,0.35,0.255,0.085,0.2145,0.1,0.0465,0.06,13
1166,M,0.64,0.505,0.155,1.1955,0.5565,0.21100000000000002,0.34600000000000003,11
1167,I,0.475,0.355,0.105,0.46799999999999997,0.201,0.1115,0.12,8
1168,I,0.495,0.385,0.125,0.5125,0.2075,0.1155,0.172,10
1169,M,0.595,0.46,0.14,0.852,0.4215,0.2255,0.22699999999999998,9
1170,F,0.7,0.555,0.22,1.666,0.647,0.4285,0.455,11
1171,M,0.505,0.395,0.125,0.635,0.29,0.1555,0.175,9
1172,F,0.62,0.5,0.175,1.186,0.4985,0.3015,0.35,12
1173,M,0.53,0.425,0.13,0.7020000000000001,0.2975,0.1395,0.22,9
1174,I,0.475,0.35,0.11,0.4565,0.20600000000000002,0.099,0.13,6
1175,M,0.55,0.43,0.15,0.8745,0.413,0.1905,0.248,9
1176,I,0.56,0.44,0.13,0.7235,0.349,0.149,0.2,8
1177,I,0.445,0.31,0.09,0.336,0.1555,0.09,0.0855,7
1178,I,0.2,0.145,0.025,0.0345,0.011000000000000001,0.0075,0.01,5
1179,F,0.58,0.455,0.155,0.8365,0.315,0.1385,0.32,18
1180,I,0.55,0.435,0.125,0.741,0.348,0.1585,0.20600000000000002,9
1181,I,0.255,0.19,0.07,0.0815,0.027999999999999997,0.016,0.031,5
1182,M,0.63,0.47,0.145,1.1005,0.52,0.26,0.276,9
1183,I,0.45,0.34,0.105,0.4385,0.21,0.0925,0.12,8
1184,I,0.42,0.345,0.115,0.3435,0.1515,0.0795,0.115,9
1185,F,0.72,0.575,0.195,2.1505,1.0745,0.382,0.585,10
1186,I,0.36,0.28,0.08,0.1755,0.081,0.0505,0.07,6
1187,M,0.645,0.495,0.15,1.2095,0.603,0.2225,0.33899999999999997,9
1188,F,0.52,0.41,0.125,0.6985,0.2945,0.1625,0.215,10
1189,M,0.565,0.43,0.15,0.831,0.4245,0.1735,0.21899999999999997,10
1190,M,0.735,0.555,0.22,2.333,1.2395,0.3645,0.6195,12
1191,I,0.415,0.33,0.09,0.3595,0.17,0.081,0.09,6
1192,M,0.625,0.495,0.18,1.0815,0.4715,0.254,0.3135,10
1193,F,0.47,0.375,0.12,0.6015,0.2765,0.1455,0.135,8
1194,I,0.485,0.375,0.13,0.6025,0.2935,0.1285,0.16,7
1195,M,0.625,0.515,0.17,1.331,0.5725,0.3005,0.361,9
1196,M,0.535,0.405,0.185,0.8345,0.3175,0.1725,0.29,16
1197,M,0.55,0.45,0.13,0.92,0.37799999999999995,0.2385,0.29,11
1198,M,0.475,0.395,0.135,0.5920000000000001,0.2465,0.1645,0.2,13
1199,F,0.66,0.525,0.2,1.463,0.6525,0.2995,0.42200000000000004,11
1200,M,0.5,0.39,0.145,0.6509999999999999,0.273,0.132,0.22,11
1201,F,0.69,0.58,0.195,1.6580000000000001,0.708,0.3615,0.4715,10
1202,M,0.57,0.435,0.145,0.9055,0.3925,0.2355,0.275,10
1203,M,0.465,0.34,0.105,0.486,0.231,0.1035,0.1225,9
1204,M,0.555,0.44,0.15,0.838,0.4155,0.146,0.23,8
1205,M,0.645,0.515,0.24,1.5415,0.47100000000000003,0.369,0.535,13
1206,I,0.28,0.2,0.075,0.1225,0.0545,0.0115,0.035,5
1207,I,0.36,0.265,0.095,0.2315,0.105,0.046,0.075,7
1208,F,0.475,0.35,0.115,0.452,0.1715,0.092,0.155,11
1209,M,0.565,0.43,0.13,0.784,0.3495,0.1885,0.213,9
1210,M,0.645,0.515,0.175,1.6115,0.6745,0.384,0.385,14
1211,M,0.55,0.42,0.17,0.8465,0.336,0.2405,0.245,13
1212,I,0.465,0.325,0.14,0.7615,0.36200000000000004,0.1535,0.209,10
1213,M,0.6,0.47,0.165,1.0590000000000002,0.504,0.24100000000000002,0.275,9
